Symbol,Name,Market Cap,P/E,EPS,Net Income,Beta,Dividend,Div Yield,Extended Hr Last Price,Extended Hr Change ,%Chg (Ext),Time,Last Price,Change,%Chg,Opinion,20D Rel Str,20D His Vol,20D Avg Vol,52W Low,52W High,Wtd Alpha,YTD %Chg,1M %Chg,3M %Chg,52W %Chg,Sector,ISIN,Volume
ADP,Automatic Data Procs,1.01E+11,28.02,8.62,3412000000,0.78,5.3,2.16%,244.85,0,0.00%,4/5/2024,244.85,3.36,1.39%,40% Buy,49.07%,15.28%,2197105,201.46,256.84,12.02,5.10%,0.35%,4.10%,14.86%,Technology Services,US0530151036,1.42?M
ADSK,Autodesk Inc,52349884000,51.54,4.75,906000000,1.43,N/A,0.00%,244.74,0,0.00%,4/5/2024,244.74,-0.07,-0.03%,40% Buy,41.05%,23.26%,1262695,188.38,279.53,24.4,0.52%,-1.03%,6.63%,23.89%,Technology Services,US0527691069,1.33?M
AEE,Ameren Corp,19378014000,16.68,4.37,1152000000,0.44,2.56,3.52%,72.75,0.04,0.06%,4/5/2024,72.71,-0.18,-0.25%,40% Sell,52.93%,15.91%,1552330,67.03,91.18,-16.77,0.51%,0.82%,-1.81%,-18.55%,Utilities,US0236081024,1.585?M
AEP,American Electric Power Company,44207232000,16.02,5.24,2208100000,0.51,3.42,4.07%,83.95,0,0.00%,4/5/2024,83.95,-0.01,-0.01%,100% Buy,54.08%,15.98%,3300105,69.38,96.05,-4.59,3.36%,-0.12%,-0.14%,-11.20%,Utilities,US0255371017,2.432?M
AES,The Aes Corp,12851409000,10.31,1.76,249000000,1.08,0.67,3.71%,18.15,0.07,0.39%,4/5/2024,18.08,-0.06,-0.33%,8% Buy,63.40%,33.91%,11944970,11.43,25.74,-19.55,-6.08%,11.95%,-3.83%,-24.98%,Utilities,US00130H1059,7.587?M
AFL,Aflac Inc,49151352000,13.56,6.22,4659000000,0.91,1.76,2.06%,85.42,0,0.00%,4/5/2024,85.42,1.06,1.26%,88% Buy,59.63%,10.83%,2162815,64.06,86.26,27.88,3.54%,5.68%,3.26%,32.52%,Finance,US0010551028,1.888?M
AIG,American International Group,52916936000,11.3,6.78,3643000000,1.03,1.44,1.85%,77.22,-0.49,-0.63%,4/5/2024,77.71,1.09,1.42%,100% Buy,63.10%,14.58%,3845580,48.95,78.95,53.02,14.70%,5.13%,12.61%,54.68%,Finance,US0268747849,3?M
AIZ,Assurant Inc,9348244000,11.56,15.51,642500000,0.5,2.84,1.58%,179.85,0,0.00%,4/5/2024,179.85,0.51,0.28%,80% Buy,50.98%,17.89%,353485,115.41,189.48,51.93,6.74%,0.69%,7.00%,51.43%,Finance,US04621X1081,355.516?K
AJG,Arthur J. Gallagher & Company,53263752000,27.37,8.78,969500000,0.68,2.25,0.92%,243.99,0,0.00%,4/5/2024,243.99,3.69,1.54%,72% Buy,48.08%,15.63%,884220,194.77,256.1,19.25,8.50%,-0.55%,8.31%,24.94%,Finance,US3635761097,690.763?K
AKAM,Akamai Technologies,16098545000,25.36,4.18,547630000,0.72,N/A,0.00%,106.24,0,0.00%,4/5/2024,106.24,0.25,0.24%,40% Sell,38.22%,13.98%,1467960,76.85,129.17,19.63,-10.23%,-2.87%,-7.08%,37.24%,Technology Services,US00971T1016,919.2?K
ALB,Albemarle Corp,14508461000,5.45,22.24,1573480000,1.62,1.6,1.30%,123.45,0,0.00%,4/5/2024,123.45,2.33,1.92%,56% Sell,49.56%,54.05%,2782020,106.69,247.44,-40.29,-14.56%,12.84%,-9.11%,-37.24%,Process Industries,US0126531013,1.901?M
ALGN,Align Technology,23851522000,47.79,6.59,445050000,1.65,N/A,0.00%,317.58,0,0.00%,4/5/2024,317.58,2.63,0.84%,64% Buy,55.21%,26.80%,517545,176.34,413.2,14.52,15.91%,6.04%,19.99%,0.18%,Health Technology,US0162551016,595.357?K
ALL,Allstate Corp,45463240000,188.16,0.91,-188000000,0.52,3.59,2.08%,173,0.18,0.10%,4/5/2024,172.82,1.59,0.93%,100% Buy,68.62%,15.58%,1943275,100.57,174.57,64.13,23.46%,10.24%,15.23%,50.44%,Finance,US0200021014,999.024?K
ALLE,Allegion Plc,11584270000,18.82,6.96,540400000,1.14,1.83,1.38%,132.31,0,0.00%,4/5/2024,132.31,1.29,0.98%,88% Buy,54.10%,15.57%,599895,95.94,136.91,30.83,4.44%,3.75%,7.76%,33.39%,Producer Manufacturing,IE00BFRT3W74,351.903?K
AMAT,Applied Materials,1.73E+11,24.96,8.15,6856000000,1.59,1.28,0.62%,208.49,0.64,0.31%,4/5/2024,207.85,4.46,2.19%,100% Buy,57.93%,25.31%,5032385,109,214.91,87.4,28.25%,0.22%,39.50%,77.17%,Producer Manufacturing,US0382221051,3.331?M
AMCR,Amcor Plc,13311609000,13.29,0.69,1048000000,0.78,0.495,5.37%,9.22,0.01,0.11%,4/5/2024,9.21,0.04,0.44%,72% Sell,47.26%,18.78%,8118120,8.45,11.32,-14.31,-4.46%,0.44%,-5.44%,-18.57%,Process Industries,JE00BJ1F3079,4.011?M
AMD,Adv Micro Devices,2.75E+11,85.04,1.95,854000000,1.64,N/A,0.00%,170.55,0.13,0.08%,4/5/2024,170.42,4.59,2.77%,56% Buy,44.19%,44.82%,73079586,81.02,227.3,84.68,15.61%,-16.92%,22.98%,84.12%,Electronic Technology,US0079031078,66.079?M
AME,Ametek Inc,42131448000,28.11,6.38,1313190000,1.22,1.03,0.57%,182.22,0,0.00%,4/5/2024,182.22,2.88,1.61%,96% Buy,58.94%,11.48%,835460,133.12,186.32,33.01,10.51%,1.54%,13.36%,34.31%,Producer Manufacturing,US0311001004,763.735?K
AMGN,Amgen Inc,1.45E+11,14.37,18.65,6717000000,0.58,8.64,3.20%,269.95,0,0.00%,4/5/2024,269.95,1.86,0.69%,8% Sell,40.24%,17.98%,2699920,211.71,329.72,6.5,-6.27%,-2.42%,-10.91%,6.54%,Health Technology,US0311621009,2.294?M
AMP,Ameriprise Financial Services,43564048000,14.24,30.12,2556000000,1.36,5.4,1.24%,434.81,0,0.00%,4/5/2024,434.81,5.92,1.38%,100% Buy,64.35%,13.71%,501035,279.85,440.67,45.59,14.47%,5.39%,13.79%,45.67%,Finance,US03076C1062,295.569?K
AMT,American Tower Corp,88686160000,19.28,3.18,1483300000,0.67,6.45,3.39%,190.17,0,0.00%,4/5/2024,190.17,-0.13,-0.07%,24% Sell,41.18%,15.37%,2193575,154.58,219.1,-6.36,-11.91%,-7.42%,-11.25%,-7.09%,Finance,US03027X1000,2.539?M
AMZN,Amazon.com Inc,1.92E+12,64.29,2.8,30425000000,1.16,N/A,0.00%,185.2,0.13,0.07%,4/5/2024,185.07,5.07,2.82%,100% Buy,64.64%,19.39%,35307066,97.71,186.27,79.89,21.80%,6.29%,27.42%,83.06%,Retail Trade,US0231351067,42.374?M
ANET,Arista Networks Inc,93039880000,46.95,6.15,2087320000,1.09,N/A,0.00%,297.28,-0.32,-0.11%,4/5/2024,297.6,8.83,3.06%,100% Buy,56.42%,42.83%,2689625,131.68,307.74,93.03,26.36%,6.11%,28.88%,82.73%,Electronic Technology,US0404131064,1.453?M
ANSS,Ansys Inc,29748840000,50.25,6.79,500410000,1.16,N/A,0.00%,341.87,0,0.00%,4/5/2024,341.87,0.69,0.20%,100% Buy,51.98%,18.01%,457800,258.01,364.31,9.04,-5.79%,3.98%,-0.64%,5.74%,Technology Services,US03662Q1058,283.559?K
AON,AON Plc,63255080000,22.26,14.14,2564000000,0.86,2.46,0.77%,318.99,0,0.00%,4/5/2024,318.99,4.22,1.34%,16% Buy,49.50%,15.86%,898160,284.85,347.37,-1.48,9.61%,1.20%,10.15%,-0.80%,Finance,IE00BLP1HW54,752.886?K
AOS,Smith A.O. Corp,12885451000,22.81,3.82,556600000,1.25,1.24,1.42%,87.54,0,0.00%,4/5/2024,87.54,0.4,0.46%,88% Buy,56.79%,16.16%,920780,63.4,89.96,33.69,6.19%,4.60%,10.75%,35.49%,Producer Manufacturing,US8318652091,921.497?K
APA,Apa Corp,10787011000,7.84,4.52,2855000000,3.27,1,2.80%,35.8,0.06,0.17%,4/5/2024,35.74,0.31,0.87%,8% Sell,64.05%,30.47%,8967275,29.47,46.15,-8.86,-0.39%,17.33%,4.08%,-5.92%,Energy Minerals,US03743Q1085,6.056?M
APD,Air Products and Chemicals,53058800000,20.28,11.69,2300200000,0.81,7.02,2.94%,240,1.32,0.55%,4/5/2024,238.68,1.57,0.66%,56% Sell,47.31%,18.50%,1415750,212.24,307.71,-19.47,-12.83%,-0.38%,-11.65%,-15.92%,Process Industries,US0091581068,1.589?M
APH,Amphenol Corp,70410976000,38.24,3.01,1928000000,1.3,0.64,0.55%,117.38,0,0.00%,4/5/2024,117.38,2.28,1.98%,100% Buy,69.27%,16.40%,2977400,72,119.59,57.78,18.41%,7.06%,24.26%,50.39%,Electronic Technology,US0320951017,3.38?M
APTV,Aptiv Plc,20377302000,15.49,4.86,2938000000,1.9,N/A,0.00%,74.73,0,0.00%,4/5/2024,74.73,-0.54,-0.72%,100% Sell,40.59%,29.54%,2128175,71.01,113.6,-31.33,-16.71%,-5.92%,-10.48%,-28.49%,Producer Manufacturing,JE00B783TY65,2.316?M
ARE,Alexandria Real Estate Equities,21795644000,13.66,0.54,103640000,1.05,5.02,4.03%,124.58,0,0.00%,4/5/2024,124.58,2.07,1.69%,88% Buy,51.16%,24.44%,908920,90.73,135.45,8.44,-1.73%,0.37%,-1.53%,0.74%,Finance,US0152711091,551.084?K
ATO,Atmos Energy Corp,17532134000,18.43,6.3,885860000,0.66,3.09,2.66%,116.23,0,0.00%,4/5/2024,116.23,0.1,0.09%,88% Buy,52.22%,12.91%,913405,101,125.28,2.97,0.28%,1.55%,-1.48%,1.21%,Utilities,US0495601058,525.717?K
AVB,Avalonbay Communities,25746680000,16.95,6.55,928830000,0.92,6.65,3.67%,181.73,0.65,0.36%,4/5/2024,181.08,0.91,0.51%,56% Buy,50.05%,16.87%,639730,160.45,198.65,5.07,-3.28%,-1.45%,-0.87%,8.87%,Finance,US0534841012,392.267?K
AVGO,Broadcom Ltd,6.21E+11,35.29,37.33,14082000000,1.25,19.7,1.47%,1335.11,-4.32,-0.32%,4/5/2024,1339.43,21.93,1.66%,96% Buy,55.45%,40.33%,3610550,601.29,1438.17,112.26,19.99%,-0.25%,27.65%,112.94%,Electronic Technology,US11135F1012,1.944?M
AVY,Avery Dennison Corp,17562216000,27.56,7.88,503000000,0.9,3.24,1.49%,218.11,0,0.00%,4/5/2024,218.11,0.97,0.45%,100% Buy,55.78%,14.75%,387020,158.93,225.26,26.88,7.89%,0.90%,11.23%,23.37%,Process Industries,US0536111091,361.104?K
AWK,American Water Works,23090302000,24.62,4.89,944000000,0.63,2.83,2.39%,118.52,0,0.00%,4/5/2024,118.52,-1.86,-1.55%,96% Sell,46.00%,18.43%,1542720,114.25,153.43,-20.86,-10.21%,-0.62%,-10.14%,-21.10%,Utilities,US0304201033,1.109?M
AXON,Axon Enterprise Inc,23385980000,109.97,2.79,174230000,0.93,N/A,0.00%,309.9,0,0.00%,4/5/2024,309.9,3.07,1.00%,80% Buy,60.47%,11.79%,449220,175.37,325.63,53.42,19.96%,-1.65%,26.90%,42.62%,Electronic Technology,US05464C1018,183.819?K
AXP,American Express Company,1.61E+11,19.59,11.21,8374000000,1.23,2.5,1.12%,222.45,-0.01,0.00%,4/5/2024,222.46,2.87,1.31%,80% Buy,55.89%,20.03%,2423795,140.91,231.69,45.4,18.75%,2.42%,17.67%,38.11%,Finance,US0258161092,1.828?M
AZO,Autozone,53715432000,21.72,142.02,2528430000,0.7,N/A,0.00%,3104.9399,0,0.00%,4/5/2024,3104.9399,19.8999,0.65%,88% Buy,56.70%,16.60%,137115,2277.88,3256.37,24.62,20.09%,0.07%,21.72%,24.47%,Retail Trade,US0533321024,84.683?K
BA,Boeing Company,1.12E+11,0,-5.82,-2222000000,1.52,N/A,0.00%,183.09,-0.05,-0.03%,4/5/2024,183.14,-0.15,-0.08%,88% Sell,38.03%,28.70%,8934245,176.25,267.54,-15.49,-29.74%,-8.95%,-26.45%,-12.79%,Electronic Technology,US0970231058,4.13?M
BAC,Bank of America Corp,2.93E+11,10.8,3.42,26515000000,1.39,0.94,2.53%,37.1194,0.0094,0.03%,4/5/2024,37.11,0.19,0.51%,100% Buy,61.01%,16.81%,39113871,24.96,38.35,33.2,10.22%,4.86%,7.78%,34.26%,Finance,US0605051046,30.824?M
BALL,Ball Corporation,20980724000,22.68,2.91,707000000,0.89,0.8,1.20%,66.47,0,0.00%,4/5/2024,66.47,0.48,0.73%,100% Buy,61.44%,12.10%,1681650,42.81,67.97,37.39,15.56%,4.12%,15.82%,24.99%,Process Industries,US0584981064,1.159?M
BAX,Baxter International Inc,21643584000,15.79,2.7,2656000000,0.62,1.16,2.72%,42.62,0,0.00%,4/5/2024,42.62,-0.01,-0.02%,88% Buy,55.11%,17.43%,3433490,31.01,50.21,3.62,10.24%,0.50%,8.84%,0.85%,Health Technology,US0718131099,2.97?M
BBWI,Bath & Body Works Inc,10230565000,13.81,3.27,878000000,1.86,0.8,1.76%,45.49,0,0.00%,4/5/2024,45.49,0.32,0.71%,64% Buy,48.00%,32.17%,2472045,27.3,50.34,31.72,5.40%,0.86%,1.74%,27.49%,Retail Trade,US0708301041,5.388?M
BBY,Best Buy Company,17146482000,12.38,6.38,1241000000,1.49,3.7,4.65%,79.81,0.2,0.25%,4/5/2024,79.61,0.61,0.77%,100% Buy,53.85%,21.03%,3235490,62.3,86.11,10.57,1.70%,4.81%,4.98%,4.37%,Retail Trade,US0865161014,1.68?M
BDX,Becton Dickinson and Company,71119008000,20.39,11.92,1484000000,0.43,3.72,1.51%,246.17,0,0.00%,4/5/2024,246.17,3.12,1.28%,8% Buy,56.03%,17.14%,1254720,229.85,287.32,-3.74,0.96%,5.45%,1.69%,-2.19%,Health Technology,US0758871091,1.235?M
BEN,Franklin Resources,14243392000,9.96,2.73,882800000,1.4,1.22,4.51%,27.05,0,0.00%,4/5/2024,27.05,-0.15,-0.55%,56% Buy,47.18%,21.56%,3329560,21.88,30.32,2.34,-9.20%,-2.17%,-6.34%,1.65%,Finance,US3546131018,2.032?M
BF.B,Brown Forman Inc Cl B,24089272000,25.58,2.01,783000000,0.77,0.847,1.66%,50.98,0,0.00%,4/5/2024,50.98,-0.44,-0.86%,100% Sell,37.36%,17.92%,1844725,50.5,71.27,-22.72,-10.72%,-16.12%,-7.46%,-18.99%,Consumer Non-Durables,US1156372096,1.52?M
BG,Bunge Ltd,15325646000,7.72,13.67,2243000000,0.64,2.613,2.45%,106.86,0,0.00%,4/5/2024,106.86,1.38,1.31%,24% Buy,73.09%,15.94%,1717915,86.1,116.59,13.95,5.85%,16.86%,9.02%,15.85%,Process Industries,CH1300646267,1.26?M
BIIB,Biogen Inc,29634744000,13.94,14.73,1161100000,-0.02,N/A,0.00%,203.87,0,0.00%,4/5/2024,203.87,-1.43,-0.70%,100% Sell,31.98%,23.98%,1288205,202.18,319.76,-32.55,-21.22%,-6.15%,-20.94%,-28.21%,Health Technology,US09062X1037,954.57?K
BIO,Bio-Rad Laboratories,9256654000,27.43,11.77,-637320000,0.87,N/A,0.00%,324.59,0,0.00%,4/5/2024,324.59,1.76,0.55%,24% Sell,44.57%,27.52%,170880,261.59,494.05,-27.1,0.53%,-1.92%,2.59%,-30.02%,Health Technology,US0905722072,159.031?K
BK,Bank of New York Mellon Corp,42717900000,11.22,5.06,3286000000,1.12,1.63,2.87%,56.74,0,0.00%,4/5/2024,56.74,-0.03,-0.05%,100% Buy,56.23%,15.82%,3489745,39.65,58.28,29.25,9.01%,1.52%,8.30%,26.43%,Finance,US0640581007,3.671?M
BKNG,Booking Holdings Inc,1.23E+11,22.94,153.54,4289000000,1.4,8.75,0.24%,3601.8999,-0.0001,0.00%,4/5/2024,3601.9,79.97,2.27%,88% Buy,52.25%,23.23%,284250,2456.93,3918,35.78,1.54%,5.00%,5.69%,37.71%,Consumer Services,US09857L1089,258.504?K
BKR,Baker Hughes Company,34340228000,21.2,1.6,1943000000,1.42,0.8,2.33%,34.3904,0.0804,0.23%,4/5/2024,34.31,0.39,1.15%,24% Buy,69.13%,14.86%,7767820,26.81,37.58,16.22,0.38%,13.72%,2.66%,18.15%,Industrial Services,US05722G1004,5.151?M
BLDR,Builders Firstsource,24892832000,13.71,14.64,1540560000,2.04,N/A,0.00%,204.14,0,0.00%,4/5/2024,204.14,3.39,1.69%,96% Buy,57.19%,31.78%,1113110,84.81,214.7,115.85,22.28%,2.95%,27.76%,137.48%,Retail Trade,US12008R1077,693.992?K
BLK,Blackrock Inc,1.19E+11,20.97,37.78,5502000000,1.37,20.1,2.52%,797.56,0,0.00%,4/5/2024,797.56,5.47,0.69%,64% Buy,45.80%,22.03%,603630,596.18,845,17.33,-1.75%,-3.55%,1.88%,21.57%,Finance,US09247X1019,687.33?K
BMY,Bristol-Myers Squibb Company,1.04E+11,6.85,7.5,8025000000,0.39,2.91,5.67%,51.28,-0.04,-0.08%,4/5/2024,51.32,-0.08,-0.16%,16% Sell,47.29%,19.42%,19069504,47.58,71.07,-24.64,0.02%,-0.96%,-1.74%,-26.50%,Health Technology,US1101221083,9.096?M
BR,Broadridge Financial Solutions Llc,23878272000,27.32,7.27,630600000,0.99,3.125,1.54%,202.75,0,0.00%,4/5/2024,202.75,4.16,2.09%,96% Buy,51.70%,15.47%,379815,139.35,210.24,35.63,-1.46%,0.77%,3.26%,43.92%,Technology Services,US11133T1034,471.826?K
BRK.B,Berkshire Hathaway Cl B,9.05E+11,24.16,17.19,96223000000,0.89,N/A,0.00%,418.59,-0.03,-0.01%,4/5/2024,418.62,3.3,0.79%,100% Buy,62.47%,9.71%,3375670,309.05,430,33.29,17.37%,4.46%,14.51%,34.87%,Finance,US0846707026,2.739?M
BRO,Brown & Brown,24296788000,29.87,2.81,870500000,0.78,0.49,0.58%,85.15,0,0.00%,4/5/2024,85.15,1.21,1.44%,80% Buy,55.50%,13.87%,1095635,58.02,87.99,43.87,19.74%,1.25%,22.34%,44.71%,Finance,US1152361010,1.217?M
BSX,Boston Scientific Corp,1.01E+11,33.05,2.05,1591000000,0.78,N/A,0.00%,68.56,0,0.00%,4/5/2024,68.56,0.81,1.20%,100% Buy,60.24%,18.12%,5737965,48.35,69.2,39,18.60%,2.30%,17.88%,35.12%,Distribution Services,US1011371077,5.342?M
BWA,Borgwarner Inc,7952686000,7.97,4.32,625000000,1.31,0.44,1.27%,34.61,0,0.00%,4/5/2024,34.61,0.18,0.52%,24% Sell,61.00%,19.42%,3172710,29.51,50.04,-25.63,-3.46%,10.50%,-1.09%,-25.41%,Producer Manufacturing,US0997241064,2.092?M
BX,Blackstone Inc,91174280000,31.9,3.95,1390880000,1.51,3.35,2.63%,127.58,0,0.00%,4/5/2024,127.58,1.57,1.25%,96% Buy,51.88%,26.95%,3937045,79.92,133.56,47.71,-2.55%,2.21%,4.39%,56.71%,Finance,US09260D1072,1.907?M
BXP,Boston Properties,9632625000,8.45,1.21,190220000,1.15,3.92,6.39%,61.35,0,0.00%,4/5/2024,61.35,-0.07,-0.11%,40% Sell,43.90%,33.75%,1279800,46.8,73.97,13.71,-12.57%,-5.03%,-12.81%,16.79%,Finance,US1011211018,1.089?M
C,Citigroup Inc,1.18E+11,10.9,5.59,9228000000,1.52,2.1,3.41%,61.69,0.09,0.15%,4/5/2024,61.6,0.69,1.13%,100% Buy,63.87%,17.80%,15654735,38.17,63.9,37.53,19.75%,9.49%,13.38%,34.59%,Finance,US1729674242,12.686?M
CAG,Conagra Brands Inc,14861176000,11.43,2.75,683600000,0.42,1.38,4.44%,31.1017,0.0117,0.04%,4/5/2024,31.09,0.45,1.47%,40% Buy,68.25%,23.26%,5394830,25.16,38.78,-9.31,8.48%,12.24%,10.21%,-18.76%,Consumer Non-Durables,US2058871029,10.133?M
CAH,Cardinal Health,26736170000,16.1,6.84,261000000,0.68,2.002,1.82%,109.92,0,0.00%,4/5/2024,109.92,-0.2,-0.18%,88% Buy,49.50%,19.47%,2208970,77.56,116.04,34.67,9.05%,-2.66%,3.97%,38.40%,Distribution Services,US14149Y1082,1.444?M
CARR,Carrier Global Corp,50801816000,20.46,2.73,1349000000,1.39,0.745,1.32%,56.1589,-0.2811,-0.50%,4/5/2024,56.44,0.59,1.06%,80% Buy,48.69%,22.67%,4769320,40.28,60.87,23.95,-1.76%,-0.27%,1.29%,34.06%,Producer Manufacturing,US14448C1045,4.731?M
CAT,Caterpillar Inc,1.89E+11,17.43,21.21,10335000000,1.17,5.1,1.34%,379.3,0,0.00%,4/5/2024,379.3,9.51,2.57%,100% Buy,72.14%,20.91%,2246715,204.04,381.03,80.18,28.28%,13.72%,31.28%,77.63%,Producer Manufacturing,US1491231015,2.068?M
CB,Chubb Ltd,1.03E+11,11.17,22.58,9028000000,0.62,3.44,1.36%,252.9,0,0.00%,4/5/2024,252.9,0.67,0.27%,80% Buy,51.40%,13.03%,1652175,183.71,260.58,31.76,11.90%,1.42%,11.07%,29.04%,Finance,CH0044328745,1.266?M
CBOE,CBOE Global Markets Inc,19102950000,23.28,7.8,761400000,0.6,2.15,1.19%,180.39,-0.54,-0.30%,4/5/2024,180.93,-0.64,-0.35%,24% Buy,46.49%,18.94%,816220,130.91,199,30.09,1.33%,-4.90%,4.51%,33.41%,Finance,US12503M1080,713.54?K
CBRE,CBRE Group Inc,29389616000,24.86,3.84,986000000,1.42,N/A,0.00%,96.43,0.29,0.30%,4/5/2024,96.14,0.68,0.71%,100% Buy,58.42%,18.90%,1458755,64.63,98.65,37.19,3.28%,4.64%,10.44%,37.19%,Finance,US12504L1098,1.075?M
CCI,Crown Castle Inc,43790924000,13.42,3.46,1502000000,0.73,6.26,6.21%,100.78,0,0.00%,4/5/2024,100.78,-0.53,-0.52%,40% Sell,37.85%,21.06%,2504930,84.72,136.07,-19.43,-12.51%,-9.67%,-11.42%,-24.63%,Finance,US22822V1017,2.586?M
CCL,Carnival Corp,16969478000,44.29,0.34,-75000000,2.54,N/A,0.00%,15.11,-0.01,-0.07%,4/5/2024,15.12,0.06,0.40%,16% Sell,40.90%,37.71%,36946824,8.7,19.74,37.7,-18.45%,-4.85%,-12.75%,56.52%,Consumer Services,PA1436583006,29.861?M
CDNS,Cadence Design Sys,83855056000,76.05,4.03,1041140000,1.04,N/A,0.00%,308.02,0,0.00%,4/5/2024,308.02,1.54,0.50%,88% Buy,51.55%,26.37%,1367500,194.01,327.36,45.04,13.09%,0.10%,21.89%,48.40%,Technology Services,US1273871087,1.076?M
CDW,CDW Corp,34250324000,26.47,9.54,1104300000,1.09,2.42,0.95%,255.19,0,0.00%,4/5/2024,255.19,2.65,1.05%,100% Buy,60.27%,14.59%,648515,160.66,263.37,42.03,12.26%,4.17%,19.23%,35.76%,Technology Services,US12514G1085,984.438?K
CE,Celanese Corp,17710292000,18.31,8.92,1960000000,1.36,2.8,1.72%,162.62,0,0.00%,4/5/2024,162.62,-0.69,-0.42%,88% Buy,53.94%,25.43%,737260,99.33,172.16,50.85,4.67%,7.26%,8.32%,52.24%,Process Industries,US1508701034,922.055?K
CEG,Constellation Energy Corp,60843564000,36.62,5,1623000000,0.7,1.199,0.62%,192.95,-0.13,-0.07%,4/5/2024,193.08,9.97,5.44%,100% Buy,71.20%,38.82%,2705355,74.17,198.83,152.12,65.18%,9.23%,66.10%,152.39%,Utilities,US21037T1097,4.331?M
CF,Cf Industries Holdings,15977359000,10.92,7.89,1525000000,1.03,1.7,2.00%,85.11,0,0.00%,4/5/2024,85.11,-1.07,-1.24%,88% Buy,57.93%,21.47%,3145580,60.08,87.9,14.18,7.06%,7.03%,4.89%,16.33%,Process Industries,US1252691001,2.755?M
CFG,Citizens Financial Group Inc/Ri,15577416000,10.96,3.11,1608000000,1.38,1.68,4.94%,34.2924,0.3124,0.92%,4/5/2024,33.98,-0.12,-0.35%,88% Buy,51.55%,28.15%,5957110,22.77,36.38,23,2.53%,1.13%,1.83%,18.73%,Finance,US1746101054,5.622?M
